"Variables ->","Model_HumanCapital_epsi_ig___yd","Model_HumanCapital_epsi_cge___yd","Model_HumanCapital_epsi_cgrd___yd","Model_HumanCapital_epsi_cgeCgrd___yd","Model_HumanCapital_epsi_igeff25y___yd","Model_HumanCapital_epsi_cgeeff25y___yd","Model_HumanCapital_epsi_cgrd_eff25y___yd","Model_HumanCapital_epsicgrd_cge_adt___yd","Model_HumanCapital_epsicgrd_cge_limt___yd","EM_Model_HumanCapital_epsiig___yd","EM_Model_HumanCapital_epsiiglow___yd","EM_Model_HumanCapital_epsicge___yd","EM_Model_HumanCapital_epsicgelow___yd","EM_Model_HumanCapital_epsiigeff30y___yd","EM_Model_HumanCapital_epsiigeff30ylow___yd","EM_Model_HumanCapital_epsiigeff25y___yd","EM_Model_HumanCapital_epsiigeff25ylow___yd","EM_Model_HumanCapital_epsicgeeff30y___yd","EM_Model_HumanCapital_epsicgeeff30ylow___yd","EM_Model_HumanCapital_epsicgeeff25y___yd","EM_Model_HumanCapital_epsicgeeff25ylow___yd","TR_Model_HumanCapital_epsiig___yd","TR_Model_HumanCapital_epsiiglow___yd","TR_Model_HumanCapital_epsicge___yd","TR_Model_HumanCapital_epsicgelow___yd","TR_Model_HumanCapital_epsiigeff30y___yd","TR_Model_HumanCapital_epsiigeff30ylow___yd","TR_Model_HumanCapital_epsiigeff25y___yd","TR_Model_HumanCapital_epsiigeff25ylow___yd","TR_Model_HumanCapital_epsicgeeff30y___yd","TR_Model_HumanCapital_epsicgeeff30ylow___yd","TR_Model_HumanCapital_epsicgeeff25y___yd","TR_Model_HumanCapital_epsicgeeff25ylow___yd"
"2025Y",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"2026Y",-0.044,0.381,-0.325,0.015,-0.049,0.521,-0.316,-0.095,0.119,-0.056,-0.056,0.709,0.709,-0.215,-0.253,-0.112,-0.129,1.218,1.294,1.059,1.113,-0.061,-0.061,0.516,0.516,-0.128,-0.140,-0.080,-0.084,0.850,0.895,0.744,0.775
"2027Y",0.126,0.140,-0.289,-0.087,0.100,0.263,-0.306,-0.429,0.276,0.340,0.340,0.275,0.275,0.137,0.095,0.249,0.227,0.718,0.783,0.585,0.633,0.438,0.438,0.215,0.215,0.345,0.330,0.401,0.394,0.510,0.550,0.420,0.447
"2028Y",0.279,-0.006,-0.068,-0.027,0.247,0.094,-0.106,-0.551,0.547,0.703,0.703,0.044,0.044,0.567,0.545,0.644,0.631,0.402,0.452,0.302,0.340,0.893,0.893,0.050,0.050,0.829,0.820,0.869,0.866,0.294,0.326,0.223,0.247
"2029Y",0.420,-0.075,0.211,0.108,0.395,0.000,0.160,-0.549,0.844,1.038,1.038,-0.018,-0.018,1.068,1.085,1.069,1.078,0.254,0.290,0.188,0.217,1.310,1.310,-0.001,-0.001,1.322,1.326,1.329,1.332,0.191,0.215,0.141,0.159
"2030Y",0.550,-0.083,0.500,0.279,0.544,-0.030,0.444,-0.461,1.130,1.345,1.345,0.054,0.054,1.630,1.702,1.521,1.561,0.254,0.278,0.215,0.237,1.691,1.691,0.042,0.042,1.824,1.847,1.779,1.793,0.187,0.205,0.155,0.169
"2031Y",0.672,-0.040,0.783,0.472,0.694,-0.007,0.730,-0.303,1.388,1.626,1.626,0.231,0.231,2.242,2.382,1.993,2.074,0.381,0.398,0.361,0.378,2.039,2.039,0.158,0.158,2.330,2.378,2.218,2.247,0.269,0.281,0.250,0.261
"2032Y",0.786,0.044,1.052,0.679,0.846,0.061,1.011,-0.080,1.605,1.882,1.882,0.490,0.490,2.896,3.116,2.483,2.611,0.618,0.632,0.605,0.620,2.355,2.355,0.331,0.331,2.839,2.916,2.647,2.692,0.423,0.434,0.411,0.421
"2033Y",0.893,0.161,1.308,0.896,1.000,0.168,1.286,0.214,1.764,2.115,2.115,0.809,0.809,3.586,3.895,2.985,3.168,0.947,0.965,0.930,0.946,2.642,2.642,0.547,0.547,3.350,3.461,3.064,3.130,0.640,0.651,0.628,0.638
"2034Y",0.994,0.306,1.550,1.119,1.155,0.308,1.554,0.595,1.841,2.327,2.327,1.173,1.173,4.305,4.711,3.498,3.740,1.356,1.383,1.320,1.342,2.902,2.902,0.796,0.796,3.861,4.010,3.471,3.559,0.909,0.924,0.890,0.902
"2035Y",1.089,0.473,1.779,1.347,1.312,0.477,1.815,1.100,1.795,2.519,2.519,1.568,1.568,5.051,5.558,4.019,4.324,1.831,1.874,1.764,1.795,3.137,3.137,1.068,1.068,4.374,4.563,3.867,3.979,1.223,1.244,1.187,1.203
"2036Y",1.179,0.657,1.995,1.578,1.471,0.670,2.070,1.683,1.672,2.693,2.693,1.983,1.983,5.821,6.434,4.545,4.918,2.361,2.426,2.250,2.293,3.349,3.349,1.355,1.355,4.888,5.120,4.253,4.391,1.572,1.604,1.513,1.536
"2037Y",1.265,0.856,2.199,1.810,1.631,0.884,2.319,2.241,1.570,2.849,2.849,2.409,2.409,6.613,7.336,5.076,5.518,2.937,3.029,2.769,2.829,3.540,3.540,1.651,1.651,5.404,5.683,4.629,4.794,1.952,1.997,1.862,1.892
"2038Y",1.346,1.065,2.392,2.043,1.793,1.117,2.563,2.775,1.487,2.991,2.991,2.839,2.839,7.428,8.266,5.608,6.123,3.550,3.674,3.314,3.394,3.713,3.713,1.950,1.950,5.925,6.252,4.996,5.190,2.356,2.416,2.227,2.267
"2039Y",1.423,1.283,2.574,2.275,1.956,1.365,2.801,3.285,1.421,3.118,3.118,3.267,3.267,8.269,9.225,6.142,6.731,4.191,4.353,3.877,3.981,3.867,3.867,2.249,2.249,6.453,6.832,5.355,5.578,2.778,2.857,2.604,2.656
"2040Y",1.496,1.507,2.746,2.505,2.120,1.626,3.033,3.773,1.368,3.233,3.233,3.688,3.688,9.140,10.218,6.677,7.340,4.855,5.058,4.454,4.585,4.006,4.006,2.542,2.542,6.993,7.426,5.706,5.960,3.214,3.315,2.990,3.056
"2041Y",1.565,1.735,2.909,2.732,2.286,1.900,3.261,4.239,1.327,3.336,3.336,4.098,4.098,9.995,11.191,7.211,7.950,5.551,5.803,5.040,5.201,4.131,4.131,2.829,2.829,7.520,8.006,6.050,6.335,3.671,3.797,3.381,3.463
"2042Y",1.631,1.965,3.063,2.956,2.453,2.182,3.483,4.684,1.295,3.429,3.429,4.495,4.495,10.766,12.067,7.744,8.560,6.290,6.597,5.631,5.825,4.243,4.243,3.108,3.108,7.995,8.530,6.387,6.704,4.156,4.312,3.775,3.873
"2043Y",1.693,2.196,3.209,3.176,2.621,2.474,3.701,5.108,1.271,3.512,3.512,4.877,4.877,11.461,12.855,8.276,9.168,7.053,7.420,6.224,6.453,4.343,4.343,3.375,3.375,8.425,9.003,6.718,7.068,4.658,4.847,4.169,4.286
"2044Y",1.753,2.427,3.346,3.392,2.791,2.772,3.914,5.511,1.255,3.587,3.587,5.242,5.242,12.085,13.563,8.808,9.777,7.826,8.257,6.815,7.082,4.433,4.433,3.631,3.631,8.811,9.428,7.045,7.427,5.167,5.391,4.562,4.699
"2045Y",1.809,2.657,3.476,3.603,2.962,3.076,4.123,5.895,1.244,3.654,3.654,5.589,5.589,12.646,14.198,9.339,10.385,8.599,9.095,7.404,7.710,4.514,4.514,3.875,3.875,9.159,9.811,7.368,7.783,5.676,5.936,4.952,5.110
"2046Y",1.862,2.884,3.599,3.809,3.135,3.384,4.328,6.260,1.239,3.714,3.714,5.918,5.918,13.149,14.768,9.872,10.994,9.361,9.923,7.987,8.335,4.586,4.586,4.106,4.106,9.471,10.154,7.688,8.137,6.178,6.476,5.338,5.518
"2047Y",1.913,3.108,3.715,4.009,3.311,3.696,4.530,6.606,1.237,3.768,3.768,6.228,6.228,13.601,15.278,10.407,11.606,10.107,10.734,8.564,8.955,4.650,4.650,4.323,4.323,9.752,10.463,8.007,8.491,6.670,7.004,5.719,5.922
"2048Y",1.961,3.328,3.825,4.203,3.489,4.011,4.728,6.934,1.239,3.816,3.816,6.520,6.520,14.006,15.736,10.946,12.222,10.829,11.521,9.132,9.568,4.708,4.708,4.528,4.528,10.003,10.739,8.326,8.845,7.147,7.518,6.094,6.322
"2049Y",2.007,3.544,3.928,4.391,3.672,4.328,4.924,7.244,1.244,3.859,3.859,6.793,6.793,14.369,16.145,11.494,12.848,11.525,12.279,9.692,10.173,4.759,4.759,4.721,4.721,10.229,10.987,8.649,9.204,7.606,8.013,6.462,6.715
"2050Y",2.051,3.756,4.026,4.573,3.859,4.646,5.119,7.538,1.252,3.898,3.898,7.049,7.049,14.694,16.512,12.054,13.487,12.191,13.006,10.241,10.769,4.806,4.806,4.900,4.900,10.431,11.209,8.977,9.569,8.047,8.488,6.823,7.101
