year,Joint human capital + R&D,Human capital investment,R&D investment
2026,0.015,0.381,-0.325
2027,-0.087,0.14,-0.289
2028,-0.027,-0.006,-0.068
2029,0.108,-0.075,0.211
2030,0.279,-0.083,0.5
2031,0.472,-0.04,0.783
2032,0.679,0.044,1.052
2033,0.896,0.161,1.308
2034,1.119,0.306,1.55
2035,1.347,0.473,1.779
2036,1.578,0.657,1.995
2037,1.81,0.856,2.199
2038,2.043,1.065,2.392
2039,2.275,1.283,2.574
2040,2.505,1.507,2.746
2041,2.732,1.735,2.909
2042,2.956,1.965,3.063
2043,3.176,2.196,3.209
2044,3.392,2.427,3.346
2045,3.603,2.657,3.476
2046,3.809,2.884,3.599
2047,4.009,3.108,3.715
2048,4.203,3.328,3.825
2049,4.391,3.544,3.928
2050,4.573,3.756,4.026
