year,Infrastructure: reallocation,Human capital: reallocation,Infrastructure: reallocation and efficiency by 2050,Human capital: reallocation and efficiency by 2050
2025,0.0,0.0,0.0,0.0
2026,-0.044,0.381,-0.049,0.521
2027,0.126,0.14,0.1,0.263
2028,0.279,-0.006,0.247,0.094
2029,0.42,-0.075,0.395,0.0
2030,0.55,-0.083,0.544,-0.03
2031,0.672,-0.04,0.694,-0.007
2032,0.786,0.044,0.846,0.061
2033,0.893,0.161,1.0,0.168
2034,0.994,0.306,1.155,0.308
2035,1.089,0.473,1.312,0.477
2036,1.179,0.657,1.471,0.67
2037,1.265,0.856,1.631,0.884
2038,1.346,1.065,1.793,1.117
2039,1.423,1.283,1.956,1.365
2040,1.496,1.507,2.12,1.626
2041,1.565,1.735,2.286,1.9
2042,1.631,1.965,2.453,2.182
2043,1.693,2.196,2.621,2.474
2044,1.753,2.427,2.791,2.772
2045,1.809,2.657,2.962,3.076
2046,1.862,2.884,3.135,3.384
2047,1.913,3.108,3.311,3.696
2048,1.961,3.328,3.489,4.011
2049,2.007,3.544,3.672,4.328
2050,2.051,3.756,3.859,4.646
