year,Infrastructure: reallocation,Human capital: reallocation,Infrastructure: reallocation and efficiency by 2050,Human capital: reallocation and efficiency by 2050
2025,0.0,0.0,0.0,0.0
2026,-0.056,0.709,-0.112,1.059
2027,0.34,0.275,0.249,0.585
2028,0.703,0.044,0.644,0.302
2029,1.038,-0.018,1.069,0.188
2030,1.345,0.054,1.521,0.215
2031,1.626,0.231,1.993,0.361
2032,1.882,0.49,2.483,0.605
2033,2.115,0.809,2.985,0.93
2034,2.327,1.173,3.498,1.32
2035,2.519,1.568,4.019,1.764
2036,2.693,1.983,4.545,2.25
2037,2.849,2.409,5.076,2.769
2038,2.991,2.839,5.608,3.314
2039,3.118,3.267,6.142,3.877
2040,3.233,3.688,6.677,4.454
2041,3.336,4.098,7.211,5.04
2042,3.429,4.495,7.744,5.631
2043,3.512,4.877,8.276,6.224
2044,3.587,5.242,8.808,6.815
2045,3.654,5.589,9.339,7.404
2046,3.714,5.918,9.872,7.987
2047,3.768,6.228,10.407,8.564
2048,3.816,6.52,10.946,9.132
2049,3.859,6.793,11.494,9.692
2050,3.898,7.049,12.054,10.241
