year,Infrastructure: reallocation,Human capital: reallocation,Infrastructure: reallocation and efficiency by 2050,Human capital: reallocation and efficiency by 2050
2025,0.0,0.0,0.0,0.0
2026,-0.061,0.516,-0.08,0.744
2027,0.438,0.215,0.401,0.42
2028,0.893,0.05,0.869,0.223
2029,1.31,-0.001,1.329,0.141
2030,1.691,0.042,1.779,0.155
2031,2.039,0.158,2.218,0.25
2032,2.355,0.331,2.647,0.411
2033,2.642,0.547,3.064,0.628
2034,2.902,0.796,3.471,0.89
2035,3.137,1.068,3.867,1.187
2036,3.349,1.355,4.253,1.513
2037,3.54,1.651,4.629,1.862
2038,3.713,1.95,4.996,2.227
2039,3.867,2.249,5.355,2.604
2040,4.006,2.542,5.706,2.99
2041,4.131,2.829,6.05,3.381
2042,4.243,3.108,6.387,3.775
2043,4.343,3.375,6.718,4.169
2044,4.433,3.631,7.045,4.562
2045,4.514,3.875,7.368,4.952
2046,4.586,4.106,7.688,5.338
2047,4.65,4.323,8.007,5.719
2048,4.708,4.528,8.326,6.094
2049,4.759,4.721,8.649,6.462
2050,4.806,4.9,8.977,6.823
