year,Infrastructure,Human capital,R&D
2025,0.0,0.0,0.0
2026,-0.005,0.14,0.009
2027,-0.026,0.123,-0.017
2028,-0.032,0.1,-0.038
2029,-0.025,0.075,-0.051
2030,-0.006,0.053,-0.056
2031,0.022,0.033,-0.053
2032,0.06,0.017,-0.041
2033,0.107,0.007,-0.022
2034,0.161,0.002,0.004
2035,0.223,0.004,0.036
2036,0.292,0.013,0.075
2037,0.366,0.028,0.12
2038,0.447,0.052,0.171
2039,0.533,0.082,0.227
2040,0.624,0.119,0.287
2041,0.721,0.165,0.352
2042,0.822,0.217,0.42
2043,0.928,0.278,0.492
2044,1.038,0.345,0.568
2045,1.153,0.419,0.647
2046,1.273,0.5,0.729
2047,1.398,0.588,0.815
2048,1.528,0.683,0.903
2049,1.665,0.784,0.996
2050,1.808,0.89,1.093
