year,"Infrastructure, closing by 2050","Infrastructure, closing by 2040","Human capital, closing by 2050","Human capital, closing by 2040"
2025,0.0,0.0,0.0,0.0
2026,-0.056,-0.159,0.35,0.509
2027,-0.091,-0.203,0.31,0.443
2028,-0.059,-0.136,0.258,0.358
2029,0.031,0.03,0.206,0.272
2030,0.176,0.285,0.161,0.2
2031,0.367,0.616,0.13,0.15
2032,0.601,1.014,0.115,0.128
2033,0.87,1.471,0.121,0.138
2034,1.171,1.978,0.147,0.183
2035,1.5,2.532,0.196,0.263
2036,1.852,3.128,0.267,0.378
2037,2.227,3.764,0.36,0.528
2038,2.617,4.437,0.475,0.711
2039,3.024,5.151,0.61,0.924
2040,3.444,5.907,0.766,1.167
2041,3.875,6.659,0.942,1.453
2042,4.315,7.337,1.136,1.795
2043,4.764,7.949,1.347,2.176
2044,5.221,8.498,1.573,2.584
2045,5.685,8.992,1.815,3.01
2046,6.158,9.435,2.069,3.443
2047,6.639,9.833,2.336,3.879
2048,7.13,10.19,2.612,4.309
2049,7.635,10.51,2.899,4.732
2050,8.156,10.796,3.192,5.142
