year,"Infrastructure, closing by 2050","Infrastructure, closing by 2040","Human capital, closing by 2050","Human capital, closing by 2040"
2025,0.0,0.0,0.0,0.0
2026,-0.019,-0.067,0.228,0.334
2027,-0.037,-0.093,0.205,0.295
2028,-0.024,-0.064,0.173,0.244
2029,0.019,0.012,0.142,0.192
2030,0.088,0.133,0.113,0.145
2031,0.179,0.291,0.092,0.111
2032,0.292,0.484,0.08,0.092
2033,0.422,0.708,0.081,0.093
2034,0.569,0.959,0.094,0.113
2035,0.73,1.237,0.119,0.155
2036,0.904,1.539,0.158,0.217
2037,1.089,1.864,0.211,0.301
2038,1.283,2.212,0.277,0.406
2039,1.488,2.586,0.355,0.529
2040,1.7,2.987,0.448,0.672
2041,1.919,3.389,0.552,0.842
2042,2.144,3.752,0.667,1.048
2043,2.375,4.082,0.794,1.283
2044,2.612,4.378,0.931,1.536
2045,2.854,4.645,1.077,1.801
2046,3.102,4.885,1.232,2.072
2047,3.357,5.102,1.396,2.347
2048,3.618,5.295,1.566,2.619
2049,3.89,5.47,1.741,2.885
2050,4.171,5.625,1.923,3.147
