year,Infrastructure,Human capital,R&D
2025,0.0,0.0,0.0
2026,-0.044,0.381,-0.325
2027,0.126,0.14,-0.289
2028,0.279,-0.006,-0.068
2029,0.42,-0.075,0.211
2030,0.55,-0.083,0.5
2031,0.672,-0.04,0.783
2032,0.786,0.044,1.052
2033,0.893,0.161,1.308
2034,0.994,0.306,1.55
2035,1.089,0.473,1.779
2036,1.179,0.657,1.995
2037,1.265,0.856,2.199
2038,1.346,1.065,2.392
2039,1.423,1.283,2.574
2040,1.496,1.507,2.746
2041,1.565,1.735,2.909
2042,1.631,1.965,3.063
2043,1.693,2.196,3.209
2044,1.753,2.427,3.346
2045,1.809,2.657,3.476
2046,1.862,2.884,3.599
2047,1.913,3.108,3.715
2048,1.961,3.328,3.825
2049,2.007,3.544,3.928
2050,2.051,3.756,4.026
